ID,Address,Response_Address,Response_Y,Response_X,region
6,大東運門市(1.2.3樓),台北市士林區大東路11之6號,25.0868537,121.5252903,台北市士林區
7,仕運門市,台北市士林區中正路235巷2號1樓,25.0950274,121.5259493,台北市士林區
8,士林門市,台北市士林區文林路165號1樓,25.0894212,121.5267201,台北市士林區
9,基河門市,台北市士林區基河路128號,25.0885889,121.523195,台北市士林區
10,芝山門市,台北市士林區福華路164巷6號,25.1042621,121.5227731,台北市士林區
11,劍潭門市,台北市士林區劍潭路13號1樓,25.084209,121.523012,台北市士林區
12,德行門市,台北市士林區德行東路109巷106號1樓,25.1110097,121.5288772,台北市士林區
13,權德門市,台北市大同區民權西路145號,25.0631558,121.5166258,台北市大同區
14,保平門市,台北市大同區延平北路二段198號,25.058962,121.5113595,台北市大同區
15,承德門市,台北市大同區承德路一段29號、長安西路59號,25.050906,121.5169245,台北市大同區
16,酒泉門市,台北市大同區酒泉街66號,25.0718451,121.5154509,台北市大同區
17,頂東門市,台北市大安區大安路一段43號1樓,25.0435307,121.546283,台北市大安區
18,永康門市,台北市大安區永康街7之2號,25.0330738,121.5299032,台北市大安區
19,安居門市,台北市大安區安居街5號1樓,25.0211898,121.5552728,台北市大安區
20,臥龍門市,台北市大安區和平東路3段7號1樓,25.0248784,121.5469465,台北市大安區
21,亭運門市,台北市大安區和平東路一段21號1樓,25.0272778,121.5230068,台北市大安區
22,新統領門市,台北市大安區忠孝東路4段181巷6號,25.0424969,121.5506621,台北市大安區
23,明曜門市,台北市大安區忠孝東路四段216巷32弄20號1樓,25.0398318,121.5519591,台北市大安區
24,延吉門市,台北市大安區忠孝東路四段250號,25.0412031,121.5541909,台北市大安區
25,新信維門市,台北市大安區信義路四段74號(康是美),25.0330759,121.5464175,台北市大安區
26,新通化門市,台北市大安區通化街28號,25.0313158,121.5540701,台北市大安區
27,微風門市,台北市大安區復興南路一段125號1樓,25.0433357,121.5440383,台北市大安區
28,富運門市,台北市大安區復興南路二段279號,25.0252781,121.5436685,台北市大安區
29,福運門市,台北市大安區羅斯福路三段297-4號1樓,25.017584,121.531774,台北市大安區
30,北安門市(2F之7),台北市中山區北安路616號1樓及608巷3號,25.08238,121.54906,台北市中山區
31,新雙連門市,台北市中山區民生西路23號,25.0578769,121.5213463,台北市中山區
32,權站門市,台北市中山區民權西路40及40-1號,25.0625847,121.521103,台北市中山區
33,松錦門市,台北市中山區松江路307號1樓,25.0615051,121.533487,台北市中山區
34,新長順門市,台北市中山區林森北路111號1樓,25.0505356,121.5251244,台北市中山區
35,林森門市,台北市中山區林森北路282號1樓,25.0555024,121.5253295,台北市中山區
36,林北門市,台北市中山區林森北路411號,25.0597579,121.5256626,台北市中山區
37,新松江門市,台北市中山區長安東路二段51號,25.0485925,121.532439,台北市中山區
38,興北門市,台北市中山區復興北路164號,25.053477,121.543845,台北市中山區
39,復錦門市,台北市中山區復興北路354號,25.0602595,121.5439216,台北市中山區
40,復興門市,台北市中山區復興北路62號,25.0504088,121.5437837,台北市中山區
41,薇閣門市,台北市中山區敬業三路11號,25.0836386,121.5559414,台北市中山區
42,吉林門市,台北市中山區農安街129號1樓,25.0649356,121.5300778,台北市中山區
43,晴安門市(1樓、B1),台北市中山區農安街14號,25.0648403,121.5244065,台北市中山區
44,興安門市,台北市中山區興安街97號,25.0561891,121.5433995,台北市中山區
45,錦州門市,台北市中山區錦州街219號1樓,25.0604341,121.5321888,台北市中山區
46,龍江門市,台北市中山區龍江路334號1樓,25.0653928,121.5408779,台北市中山區
47,同安門市,台北市中正區同安街41之1號,25.024784,121.5224742,台北市中正區
48,站前門市(B1),台北市中正區忠孝西路一段49號,25.0463087,121.5178784,台北市中正區
49,新通運門市(B1),台北市中正區忠孝西路一段50-1號,25.0464951,121.515575,台北市中正區
50,公保門市,台北市中正區信陽街2號,25.0445923,121.5167157,台北市中正區
51,新中正門市(1、2樓),台北市中正區信義路二段1號,25.0356238,121.5245843,台北市中正區
52,寧波門市,台北市中正區寧波西街11號,25.0314235,121.5185738,台北市中正區
53,漢寧門市,台北市中正區漢口街一段3號,25.0452419,121.5145616,台北市中正區
54,新衡運門市,台北市中正區衡陽路93號,25.042436,121.510236,台北市中正區
55,公館門市,台北市中正區羅斯福路四段24巷12弄12號,25.0148038,121.5330568,台北市中正區
56,新湖門市,台北市內湖區內湖路一段287號,25.0823473,121.5669674,台北市內湖區
57,麗湖門市,台北市內湖區內湖路一段737巷47號,25.0802885,121.579066,台北市內湖區
58,葫洲門市,台北市內湖區民權東路6段296巷33號,25.0719396,121.6064417,台北市內湖區
59,大湖門市,台北市內湖區成功路四段363號,25.0844497,121.600251,台北市內湖區
60,文湖門市,台北市內湖區成功路四段56號1樓,25.0824382,121.5923796,台北市內湖區
61,明湖門市,台北市內湖區東湖路47號1樓,25.0689053,121.6142201,台北市內湖區
62,新政大門市(1、2樓),台北市文山區指南路二段79號,24.9878905,121.5750816,台北市文山區
63,景運門市,台北市文山區景中街3號,24.993129,121.5415347,台北市文山區
64,萬芳門市,台北市文山區興隆路三段88號,24.9995993,121.5567291,台北市文山區
65,興隆門市,台北市文山區興隆路四段155號1樓,24.9846595,121.5617725,台北市文山區
66,萬隆門市,台北市文山區羅斯福路五段216之2號1樓,25.0022195,121.5385973,台北市文山區
67,新泉源門市(1.2樓),台北市北投區中和街294號,25.140643,121.500198,台北市北投區
68,總運門市,台北市北投區石牌路二段46號,25.1157206,121.5158643,台北市北投區
69,光明門市,台北市北投區光明路29、31號,25.1326946,121.4992727,台北市北投區
70,明德門市,台北市北投區明德路88號,25.1093515,121.5195639,台北市北投區
71,智行門市,台北市北投區知行路306號,25.1221836,121.4674004,台北市北投區
72,新尊吉門市,台北市北投區實踐街30號,25.1150016,121.5084857,台北市北投區
73,台安門市,台北市松山區八德路二段435號,25.0483444,121.5468999,台北市松山區
74,新倫門市,台北市松山區八德路三段74巷10號,25.0477427,121.5524128,台北市松山區
75,新民新門市,台北市松山區民生東路五段119-1號1樓,25.0588389,121.560829,台北市松山區
76,新東門市,台北市松山區民生東路五段236號,25.0588639,121.5661365,台北市松山區
