title,exit,Response_X,Response_Y
頂埔站出口1,1,121.418218,24.959306
頂埔站出口2,2,121.419,24.95931
頂埔站出口3,3,121.4196,24.95962
頂埔站出口4,4,121.4201,24.96039
松山機場站出口1,1,121.552335,25.063717
松山機場站出口2,2,121.551294,25.063673
松山機場站出口3,3,121.552241,25.062923
中山國中站出口,0,121.544031,25.060889
忠孝復興站出口1,1,121.543143,25.041797
忠孝復興站出口2,2,121.543422,25.041355
忠孝復興站出口3,3,121.544806,25.041467
忠孝復興站出口4,4,121.54506,25.041772
忠孝復興站出口5,5,121.543985,25.04202
大安站出口1,1,121.541949,25.033508
大安站出口2,2,121.541826,25.033515
大安站出口3,3,121.54233,25.033241
大安站出口4,4,121.544057,25.033066
大安站出口5,5,121.543719,25.032862
大安站出口6,6,121.543749,25.034006
科技大樓站出口,0,121.543636,25.026154
六張犁站出口,0,121.552737,25.023852
麟光站出口,0,121.558606,25.018554
辛亥站出口,0,121.557021,25.005119
萬芳醫院站出口,0,121.557737,24.999383
萬芳社區站出口,0,121.568409,24.99858
木柵站出口,0,121.573417,24.998174
動物園站出口1,1,121.579916,24.99825
動物園站出口2,2,121.579417,24.997948
大直站出口1,1,121.547104,25.080118
大直站出口2,2,121.546823,25.079584
大直站出口3,3,121.546901,25.07931
劍南路站出口1,1,121.555226,25.085174
劍南路站出口2,2,121.555097,25.084754
劍南路站出口3,3,121.556098,25.084484
西湖站出口1,1,121.566647,25.082339
西湖站出口2,2,121.567141,25.082023
港墘站出口1,1,121.57556,25.080152
港墘站出口2,2,121.574704,25.080065
文德站出口1,1,121.58564,25.078671
文德站出口2,2,121.58447,25.078408
內湖站出口1,1,121.594266,25.083745
內湖站出口2,2,121.594612,25.083636
大湖公園站出口1,1,121.602377,25.083894
大湖公園站出口2,2,121.60221,25.083675
葫洲站出口1,1,121.608047,25.072638
葫洲站出口2,2,121.607197,25.072534
東湖站出口1,1,121.611129,25.067218
東湖站出口2,2,121.611239,25.067111
東湖站出口3,3,121.611724,25.067053
南港軟體園區站出口1,1,121.615817,25.059995
南港軟體園區站出口2,2,121.616091,25.059883
南港展覽館站出口1,1,121.616936,25.055847
南港展覽館站出口2,2,121.616984,25.055308
南港展覽館站出口3,3,121.618239,25.055123
南港展覽館站出口4,4,121.618266,25.055386
南港展覽館站出口2A,2A,121.617043,25.05524
南港展覽館站出口5,5,121.616861,25.054917
南港展覽館站出口6,6,121.618183,25.054739
南港展覽館站出口7,7,121.618148,25.054035
小碧潭站出口1,1,121.530311,24.971684
小碧潭站出口2,2,121.52995,24.973192
新店站出口,0,121.537558,24.957877
新店區公所站出口1,1,121.541124,24.967393
新店區公所站出口2,2,121.541845,24.967986
七張站出口1,1,121.543068,24.975025
七張站出口2,2,121.542641,24.97691
大坪林站出口1,1,121.540874,24.982754
大坪林站出口2,2,121.541619,24.982051
大坪林站出口3,3,121.541572,24.982982
大坪林站出口4,4,121.541405,24.983539
景美站出口1,1,121.540933,24.992296
景美站出口2,2,121.541517,24.993069
景美站出口3,3,121.540546,24.992744
萬隆站出口1,1,121.538896,25.001367
萬隆站出口2,2,121.539613,25.00151
萬隆站出口3,3,121.539195,25.002215
萬隆站出口4,4,121.538572,25.002676
公館站出口1,1,121.534377,25.014509
公館站出口2,2,121.534721,25.014718
公館站出口3,3,121.534055,25.015413
公館站出口4,4,121.533623,25.015148
台電大樓站出口1,1,121.528577,25.01962
台電大樓站出口2,2,121.529093,25.020192
台電大樓站出口3,3,121.527849,25.021179
台電大樓站出口4,4,121.527297,25.021018
台電大樓站出口5,5,121.527739,25.020758
古亭站出口1,1,121.522973,25.025976
古亭站出口2,2,121.523353,25.025502
古亭站出口3,3,121.523353,25.026078
古亭站出口4,4,121.523069,25.026424
古亭站出口5,5,121.522873,25.027184
古亭站出口6,6,121.522297,25.027537
古亭站出口7,7,121.521937,25.02742
古亭站出口8,8,121.521894,25.027056
古亭站出口9,9,121.522404,25.026798
中正紀念堂站出口1,1,121.517764,25.033034
中正紀念堂站出口2,2,121.518261,25.032406
中正紀念堂站出口3,3,121.519,25.032281
中正紀念堂站出口4,4,121.51796,25.033525
中正紀念堂站出口5,5,121.517109,25.035148
中正紀念堂站出口6,6,121.516543,25.03588
中正紀念堂站出口7,7,121.515983,25.034565
小南門站出口1,1,121.509752,25.036434
小南門站出口2,2,121.509865,25.035736
小南門站出口3,3,121.510988,25.035309
小南門站出口4,4,121.511455,25.035226
頂溪站出口1,1,121.515414,25.012895
頂溪站出口2,2,121.515446,25.014222
永安市場站出口,0,121.510962,25.002375
景安站出口,0,121.504632,24.993731
南勢角站出口1,1,121.508639,24.990016
南勢角站出口2,2,121.508853,24.989919
南勢角站出口3,3,121.509395,24.989651
南勢角站出口4,4,121.509776,24.989486
台大醫院站出口1,1,121.515731,25.040913
台大醫院站出口2,2,121.516589,25.041224
台大醫院站出口3,3,121.516632,25.042808
台大醫院站出口4,4,121.516299,25.042876
台北車站M5,M5,121.516246,25.046755
台北車站M6,M6,121.516787,25.046234
台北車站M7,M7,121.518643,25.046077
台北車站M8,M8,121.517479,25.045948
台北車站M1,M1,121.518193,25.048232
台北車站M2,M2,121.519067,25.048064
台北車站M3,M3,121.517882,25.046337
台北車站M4,M4,121.517345,25.046485
雙連站出口1,1,121.520588,25.057499
雙連站出口2,2,121.520615,25.057825
民權西路站出口1,1,121.519454,25.062641
民權西路站出口4,4,121.519867,25.061936
民權西路站出口3,3,121.519786,25.061766
民權西路站出口2,2,121.519614,25.061878
民權西路站出口5,5,121.518558,25.063122
民權西路站出口6,6,121.51853,25.062693
民權西路站出口7,7,121.520092,25.06267
民權西路站出口8,8,121.520602,25.06266
民權西路站出口9,9,121.520744,25.063027
民權西路站出口10,10,121.519791,25.063063
圓山站出口1,1,121.520033,25.070785
圓山站出口2,2,121.520108,25.071776
劍潭站出口1,1,121.525175,25.08503
劍潭站出口2,2,121.524807,25.083466
士林站出口1,1,121.525966,25.094106
士林站出口2,2,121.526433,25.092901
芝山站出口1,1,121.522636,25.102046
芝山站出口2,2,121.522356,25.103804
明德站出口,0,121.519153,25.109298
石牌站出口1,1,121.515171,25.115007
石牌站出口2,2,121.516205,25.113602
唭哩岸站出口1,1,121.506987,25.120673
唭哩岸站出口2,2,121.50589,25.120854
奇岩站出口,0,121.50096,25.126169
北投站出口,0,121.49824,25.132316
新北投站出口,0,121.503524,25.136968
復興崗站出口2,2,121.485159,25.137325
復興崗站出口1,1,121.485373,25.137665
忠義站出口1,1,121.473169,25.131056
忠義站出口2,2,121.473657,25.130905
關渡站出口1,1,121.467215,25.125431
