"","df_rent.Response_X","df_rent.Response_Y","df_rent.FarePerSquare","df_rent.cata"
"1",121.495606,25.027591,760.4562738,"low"
"2",121.521924,25.079789,2333.333333,"low"
"3",121.521477,25.02709,4000,"high"
"4",121.559115,25.085345,8500,"medium"
"5",121.546008,25.044847,4210.526316,"high"
"6",121.571559,25.080292,3018.867925,"medium"
"7",121.558803,24.988865,1500,"medium"
"8",121.528271,25.052291,3939.393939,"high"
"9",121.507953,25.042645,1785.714286,"low"
"10",121.543792,25.032595,3333.333333,"high"
"11",121.528752,25.016064,5238.095238,"high"
"12",121.525585,25.038065,2474.226804,"high"
"13",121.524659,25.023391,6071.428571,"high"
"14",121.518813,25.031389,1666.666667,"high"
"15",121.513971,25.034083,2320,"high"
"16",121.511712,25.046306,3020.134228,"high"
"17",121.516171,25.045373,4000,"high"
"18",121.519374,25.028204,1536.312849,"high"
"19",121.515671,25.033582,3750,"high"
"20",121.530343,25.042799,4960,"high"
"21",121.517531,25.045727,3339.055794,"high"
"22",121.517531,25.045727,4100,"high"
"23",121.526546,25.043273,1726.190476,"high"
"24",121.521623,25.063677,1801.801802,"high"
"25",121.522782,25.066854,2566.003307,"high"
"26",121.521688,25.059922,1600,"high"
"27",121.519611,25.046198,1413.043478,"high"
"28",121.522687,25.050827,2222.222222,"high"
"29",121.522755,25.064856,1320,"high"
"30",121.527785,25.053913,1111.111111,"high"
"31",121.527785,25.053913,1300,"high"
"32",121.544268,25.048715,6153.846154,"high"
"33",121.537948,25.051784,3951.612903,"high"
"34",121.515187,25.054417,2873.563218,"low"
"35",121.544268,25.048715,2580.645161,"high"
"36",121.52359,25.054858,2895.522388,"high"
"37",121.528271,25.052291,1312.5,"high"
"38",121.52359,25.054858,4000,"high"
"39",121.52359,25.054858,2031.25,"high"
"40",121.533477,25.038445,3982.300885,"high"
"41",121.544127,25.033562,6000,"high"
"42",121.524658,25.035516,7500,"high"
"43",121.547662,25.042521,8000,"high"
"44",121.558091,25.05132,4198.645598,"low"
"45",121.568494,25.05737,1833.333333,"low"
"46",121.576432,25.062098,2253.333333,"medium"
"47",121.568165,25.045872,2518.518519,"high"
"48",121.565534,25.050247,3492.307692,"high"
"49",121.544882,25.038231,5333.333333,"high"
"50",121.548478,25.047618,6250,"high"
"51",121.544268,25.048715,3194.444444,"low"
"52",121.540295,25.000273,506.6079295,"medium"
"53",121.521424,25.062585,10000,"high"
"54",121.54399,25.041391,9500,"high"
"55",121.521164,25.029148,8333.333333,"high"
"56",121.522373,25.052663,4000,"high"
"57",121.529165,25.05787,1727.272727,"high"
"58",121.52906,25.096419,7352.941176,"low"
"59",121.518434,25.025074,1500,"high"
"60",121.52906,25.096419,3555.555556,"low"
"61",121.558091,25.05132,5000,"low"
"62",121.521123,25.044196,1842.105263,"high"
"63",121.529727,25.033236,5333.333333,"high"
"64",121.559289,25.032233,3766.666667,"high"
"65",121.559115,25.085345,2933.333333,"medium"
"66",121.549328,25.047842,1600,"low"
"67",121.556846,25.029444,3333.333333,"high"
"68",121.548359,25.051549,2500,"low"
"69",121.553298,25.047912,4000,"high"
"70",121.548254,25.036737,2500,"high"
"71",121.544882,25.038231,3125,"high"
"72",121.529018,25.039667,2500,"high"
"73",121.53285,25.015886,7500,"high"
"74",121.54399,25.041391,4500,"high"
"75",121.531493,25.025918,4750,"high"
"76",121.544131,25.047256,4250,"low"
"77",121.565242,25.041292,5500,"high"
